2013-04-22 06:44:24 status half-installed libffi6:armhf 3.0.11-2
2013-04-22 06:44:24 status unpacked libffi6:armhf 3.0.11-2
2013-04-22 06:44:24 status unpacked libffi6:armhf 3.0.11-2
2013-04-22 06:44:24 install libgcc1:armhf <none> 1:4.7.2-2ubuntu1
2013-04-22 06:44:24 status half-installed libgcc1:armhf 1:4.7.2-2ubuntu1
2013-04-22 06:44:24 status unpacked libgcc1:armhf 1:4.7.2-2ubuntu1
2013-04-22 06:44:24 status unpacked libgcc1:armhf 1:4.7.2-2ubuntu1
2013-04-22 06:44:24 install libglib2.0-0:armhf <none> 2.34.0-1ubuntu1
2013-04-22 06:44:24 status half-installed libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-04-22 06:44:24 status unpacked libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-04-22 06:44:24 status unpacked libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-04-22 06:44:24 install libklibc:armhf <none> 2.0.1-1ubuntu2
2013-04-22 06:44:24 status half-installed libklibc:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:25 status unpacked libklibc:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:25 status unpacked libklibc:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:25 install libkms1:armhf <none> 2.4.39-0ubuntu1
2013-04-22 06:44:25 status half-installed libkms1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:25 status unpacked libkms1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:25 status unpacked libkms1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:25 install liblocale-gettext-perl:armhf <none> 1.05-7build2
2013-04-22 06:44:25 status half-installed liblocale-gettext-perl:armhf 1.05-7build2
2013-04-22 06:44:25 status unpacked liblocale-gettext-perl:armhf 1.05-7build2
2013-04-22 06:44:25 status unpacked liblocale-gettext-perl:armhf 1.05-7build2
2013-04-22 06:44:25 install liblzma5:armhf <none> 5.1.1alpha+20120614-1
2013-04-22 06:44:25 status half-installed liblzma5:armhf 5.1.1alpha+20120614-1
2013-04-22 06:44:25 status unpacked liblzma5:armhf 5.1.1alpha+20120614-1
2013-04-22 06:44:25 status unpacked liblzma5:armhf 5.1.1alpha+20120614-1
2013-04-22 06:44:25 install libmount1:armhf <none> 2.20.1-5.1ubuntu2
